commit	metric_before	metric_after	delta	status	description
none	0	0	0	rejected	castor/agents/base.py: FAIL - This change introduces a direct print statement, whic
none	0	0	0	rejected	amazon_kit_generic: FAIL - The `meta` section is redundant and duplicates the `m
none	0	0	0	rejected	arduino_l298n: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	cytron_maker_pi: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	dynamixel_arm: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	elegoo_tumbller: FAIL - Missing `rcan_version` in the RCAN preset, violating 
none	0	0	0	rejected	esp32_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	freenove_4wd: FAIL - The `agent.model` field is missing, which is required
none	0	0	0	rejected	groq_rover: FAIL - The RCAN preset is missing the `rcan_version` field w
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed change is missing the required `rcan_ver
none	0	0	0	rejected	lego_spike_prime: FAIL - The RCAN preset has duplicated entries for metadata.r
none	0	0	0	rejected	makeblock_mbot: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	oak4_pro: FAIL - The RCAN preset is missing `rcan_version`.
none	0	0	0	rejected	rpi_rc_car: FAIL - The RCAN preset is missing the `rcan_version` and `ag
none	0	0	0	rejected	sunfounder_picar: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	vex_iq: FAIL - The proposed RCAN preset is missing the `rcan_version
none	0	0	0	rejected	waveshare_alpha: FAIL - The RCAN preset is missing the `rcan_version` field, 
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset is missing `agent.provider` and `agen
none	0	0	0	rejected	adeept_generic: FAIL - The `agent_model`, `driver`, `model`, and `version` f
none	0	0	0	rejected	amazon_kit_generic: FAIL - All robot presets have the same `metadata.robot_name`
none	0	0	0	rejected	arduino_l298n: FAIL - The RCAN preset is missing `rcan_version`.
none	0	0	0	rejected	cytron_maker_pi: FAIL - The proposed RCAN preset contains excessive repetitio
none	0	0	0	rejected	dynamixel_arm: FAIL - The `drivers` list in the RCAN preset appears to be m
none	0	0	0	rejected	elegoo_tumbller: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	esp32_generic: FAIL - The RCAN preset is missing the `rcan_version` field.
none	0	0	0	rejected	freenove_4wd: FAIL - The RCAN preset is missing the `rcan_version` field.
none	0	0	0	rejected	groq_rover: FAIL - Missing `rcan_version` and `agent.provider` is empty.
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	lego_spike_prime: FAIL - `agent.provider` is missing a value, `rcan_version` i
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	oak4_pro: FAIL - The proposed RCAN preset is incomplete as it contains
none	0	0	0	rejected	rpi_rc_car: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	sunfounder_picar: FAIL - Missing `rcan_version` in the RCAN preset definition.
none	0	0	0	rejected	vex_iq: FAIL - The agent.model metadata is nested deeper than expect
none	0	0	0	rejected	waveshare_alpha: FAIL - The RCAN preset is missing `rcan_version`.
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset is missing `rcan_version` and `agent.
none	0	0	0	rejected	adeept_generic: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	amazon_kit_generic: FAIL - The RCAN preset is missing `rcan_version`, and the `a
none	0	0	0	rejected	arduino_l298n: FAIL - The proposed change has a lot of repetition with the 
none	18	18	0	crash	cytron_maker_pi: tests failed
none	0	0	0	rejected	freenove_4wd: FAIL - Missing rcan_version in the RCAN preset.
none	0	0	0	rejected	groq_rover: FAIL - The `agent.provider` and `agent.model` fields are emp
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The `drivers` list contains multiple entries that loo
none	0	0	0	rejected	lego_spike_prime: FAIL - The proposed RCAN preset is missing the required `rca
none	0	0	0	rejected	makeblock_mbot: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	oak4_pro: FAIL - The RCAN preset is missing the required `rcan_version
none	17	17	0	crash	rpi_rc_car: tests failed
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The proposed RCAN preset is missing the `rcan_version
